arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,46,0.005,0.035,0.1,96,0.00011832765576489984,0.00014082902175097803,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,46,0.005,0.035,0.1,96,0.14931458509436996,0.15669362547408458,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.005,0.035,0.1,96,0.14857050446268075,0.20102551268164762,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,47,0.005,0.035,0.1,96,4.757879968585737e-05,2.618654700113982e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,47,0.005,0.035,0.1,96,2.7396407382583762e-05,3.1864602347232224e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,47,0.005,0.035,0.1,96,0.12555751550618374,0.1384473832376897,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.005,0.035,0.1,96,0.14339431700069194,0.18842346215984757,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,48,0.005,0.035,0.1,96,7.212722060614076e-05,3.8002367708813315e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,48,0.005,0.035,0.1,96,3.519094309941531e-05,4.111408245009726e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,48,0.005,0.035,0.1,96,0.133383029699435,0.14900736670420175,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.005,0.035,0.1,96,0.14613361754926862,0.18072401677391792,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,49,0.005,0.035,0.1,96,0.0001073307481682188,5.363344588529129e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,49,0.005,0.035,0.1,96,5.966447605403771e-05,7.122695639104405e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,49,0.005,0.035,0.1,96,0.13053639630918507,0.14735149872099013,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.005,0.035,0.1,96,0.15322700988224106,0.20686274035299787,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,50,0.005,0.035,0.1,96,0.00030836384852962994,0.0002056809861802132,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,50,0.005,0.035,0.1,96,0.00014942471360109876,0.0001760180077179778,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,50,0.005,0.035,0.1,96,0.1843866735604574,0.19691988801183957,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.005,0.035,0.1,96,0.14099031256394537,0.18275418776979865,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,51,0.005,0.035,0.1,96,9.33530892166537e-05,5.5912067379078455e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,51,0.005,0.035,0.1,96,5.9973047865149266e-05,6.984162355063591e-05,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,51,0.005,0.035,0.1,96,0.14748734824656415,0.15898188670335084,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.005,0.035,0.1,96,0.1421311575366169,0.1781907717760793,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,42,0.005,0.035,0.12,96,0.00026657127679216347,0.00015271405615865688,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,42,0.005,0.035,0.12,96,0.0001312390765009482,0.0001569099416935932,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,42,0.005,0.035,0.12,96,0.17529665582962486,0.1947219959150224,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.005,0.035,0.12,96,0.14651706017084498,0.1905111426710549,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,43,0.005,0.035,0.12,96,0.00021448934433145265,0.00010785752031876878,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,43,0.005,0.035,0.12,96,0.00013821161410223744,0.0001630070716193177,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,43,0.005,0.035,0.12,96,0.15137766001393943,0.15556949537756487,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.005,0.035,0.12,96,0.1472475273712032,0.17623279593776178,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,44,0.005,0.035,0.12,96,0.00021073942715993559,0.00016888775588626414,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,44,0.005,0.035,0.12,96,0.00019349190243832302,0.00022621704732227733,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,44,0.005,0.035,0.12,96,0.14282089525700045,0.153898827198292,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
