variant,task,seed,readout,beta_pi,lambda_pi,gamma,effective_gamma,nominal_gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
base_amplitude_rxzz,lorenz,50,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110297,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,50,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,50,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.02735104227138,1e-08
base_amplitude_rxzz,sunspots_annual,50,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.003118668345492,1.012622544130867,1e-07
base_amplitude_rxzz,lorenz,51,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811032,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,51,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,51,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,51,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.002033512522011,1.015256886085359,1e-06
base_amplitude_rxzz,lorenz,52,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,52,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,52,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,52,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.002423081343884,1.0142152705119922,1e-05
base_amplitude_rxzz,lorenz,53,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,53,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,53,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,53,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.002705451330574,1.0135327114339774,1e-05
base_amplitude_rxzz,lorenz,54,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
