bootstrap,band_size,loto_mean_band_rank,loto_mean_rep_rank
298,4,0.2495166828636216,0.2911224489795918
299,3,0.2567186588921282,0.313469387755102
300,9,0.2241201315691111,0.2618367346938775
301,7,0.2369373582766439,0.2265306122448979
302,4,0.2614803206997084,0.2910204081632653
303,8,0.2219126111983254,0.2014285714285714
304,7,0.2264379002516757,0.2378571428571428
305,3,0.2576043378390317,0.2518367346938776
306,4,0.2406046347110272,0.2472448979591837
307,4,0.2408160688517831,0.2810204081632653
308,4,0.2416861030126336,0.2480612244897959
309,4,0.2429747732426304,0.2775510204081632
310,5,0.2374029611844738,0.2320408163265306
311,2,0.2498922902494331,0.2764285714285714
312,4,0.2497180483915178,0.2854081632653061
313,4,0.2294094931205565,0.2354081632653061
314,6,0.2157604382332643,0.2563265306122448
315,6,0.2349665104136893,0.2325510204081632
316,4,0.2490631681243926,0.2416326530612245
317,8,0.2190759637188208,0.2247959183673469
318,7,0.2395549886621315,0.2342857142857143
319,7,0.2234844803722354,0.2080612244897959
320,1,0.2794053287981859,0.2889795918367347
321,4,0.2231811555791147,0.2188775510204081
322,4,0.2292431972789115,0.2647959183673469
323,5,0.2402027176785501,0.2710204081632653
324,3,0.2396294946550048,0.2362244897959183
325,1,0.2832578849721707,0.3088775510204081
326,5,0.2425344001236858,0.1903061224489796
327,4,0.232443466397548,0.2229591836734694
328,7,0.2286775510204081,0.235
329,7,0.2385426789763524,0.2768367346938776
330,4,0.2358951247165533,0.2235714285714285
331,5,0.2329761904761905,0.240204081632653
332,5,0.2263255587949465,0.2108163265306122
333,5,0.231768560237948,0.225
334,6,0.2363486303612353,0.2163265306122448
335,9,0.2210381880024737,0.221734693877551
336,5,0.2313636131144186,0.2516326530612245
337,4,0.2459771181199753,0.2404081632653061
338,4,0.2439774862325882,0.2460204081632653
339,3,0.2409821928771508,0.2498979591836734
340,2,0.2639107142857143,0.276938775510204
341,6,0.2426358114674441,0.2670408163265306
342,4,0.2569115646258503,0.2910204081632653
343,5,0.2464271697690065,0.2714285714285714
344,4,0.2566342229199372,0.2475510204081632
345,6,0.2436803530936183,0.2801020408163265
346,8,0.2284477264590046,0.2528571428571428
347,4,0.2445408163265306,0.3002040816326531
348,5,0.2407172154576116,0.2570408163265306
349,7,0.2231941460794844,0.2139795918367346
350,3,0.2431269623233909,0.2424489795918367
351,7,0.2314246031746031,0.2261224489795918
352,4,0.2522233560090702,0.2590816326530612
353,4,0.2284642857142857,0.2376530612244898
354,5,0.2442470238095238,0.2360204081632653
355,6,0.2344282474894719,0.2362244897959184
356,5,0.2222012766145419,0.2590816326530612
357,1,0.2513827745383867,0.238673469387755
358,2,0.2492150017901897,0.2715306122448979
359,5,0.2258330572488735,0.228469387755102
360,0,0.2828456305599163,0.3007142857142857
361,3,0.233779964366699,0.2146938775510204
362,2,0.2613069727891156,0.293265306122449
363,7,0.2217495316967367,0.2118367346938775
364,6,0.2242634434726271,0.2512244897959184
365,6,0.2391848072562358,0.2296938775510204
366,3,0.2488552518909661,0.2701020408163265
367,3,0.2383609491415613,0.2863265306122449
368,4,0.2502866861030126,0.2537755102040816
369,5,0.2326823924374944,0.2761224489795918
370,3,0.2534379315636029,0.2756122448979592
371,3,0.2449914965986394,0.248469387755102
372,5,0.2455717525105279,0.2585714285714285
373,2,0.243809174952032,0.2458163265306122
374,8,0.2272381903810475,0.2223469387755102
375,4,0.2324396663427275,0.2859183673469387
376,5,0.2395748299319727,0.2285714285714285
377,2,0.2536678004535147,0.2670408163265306
378,4,0.2546940457501682,0.2612244897959183
379,5,0.2321310418904404,0.2833673469387754
380,9,0.2444488249845392,0.2589795918367347
381,4,0.2538358070500928,0.2566326530612245
382,7,0.2289953470565715,0.2062244897959184
383,3,0.2533513119533527,0.295
384,5,0.2429158806379694,0.2675510204081632
385,7,0.2345719954648526,0.2345918367346938
386,6,0.2590032223415682,0.2573469387755102
387,6,0.2388018707482993,0.2338775510204081
388,10,0.2258423737916219,0.2303061224489796
