p,q,beta_pi,lambda_pi,gamma,top_frequency,mean_val_rank,mean_val_nmse,in_band
10,0.5,0.02,0.05,0.22,0.3,0.19168367346938775,0.15132614194639185,False
10,0.5,0.02,0.05,0.3,0.1,0.2170918367346939,0.1784484393540497,False
10,0.5,0.02,0.1,0.0,0.0,0.8067346938775509,1.279519894202528,False
10,0.5,0.02,0.1,0.05,0.3125,0.27540816326530615,0.1469355373703513,False
10,0.5,0.02,0.1,0.12,0.375,0.15918367346938775,0.1388629851016447,False
10,0.5,0.02,0.1,0.22,0.2125,0.18693877551020407,0.1793039123743356,False
10,0.5,0.02,0.1,0.3,0.1125,0.22158163265306122,0.1927488745634754,False
10,0.5,0.02,0.12,0.0,0.0,0.8109183673469389,1.275026330468084,False
10,0.5,0.02,0.12,0.05,0.3,0.261734693877551,0.13860760307593586,False
10,0.5,0.02,0.12,0.12,0.3625,0.17188775510204082,0.14610123792775048,False
10,0.5,0.02,0.12,0.22,0.2125,0.19540816326530613,0.18522489886891175,False
10,0.5,0.02,0.12,0.3,0.15,0.23102040816326533,0.19494016729980057,False
10,0.5,0.02,0.16,0.0,0.0,0.8025,1.2787720706862076,False
10,0.5,0.02,0.16,0.05,0.2875,0.24729591836734693,0.13979379923526072,False
10,0.5,0.02,0.16,0.12,0.25,0.17295918367346938,0.15897219043999244,False
10,0.5,0.02,0.16,0.22,0.1625,0.2044387755102041,0.19076642373203587,False
10,0.5,0.02,0.16,0.3,0.0875,0.2560204081632653,0.19812161967277986,False
10,0.5,0.02,0.28,0.0,0.0,0.7967857142857142,1.206676136404122,False
10,0.5,0.02,0.28,0.05,0.2375,0.28377551020408165,0.14758309146825827,False
10,0.5,0.02,0.28,0.12,0.1625,0.2122448979591837,0.16127956447763372,False
10,0.5,0.02,0.28,0.22,0.1,0.2355612244897959,0.18741986028716745,False
10,0.5,0.02,0.28,0.3,0.1,0.2692857142857143,0.195659445604966,False
10,0.5,0.02,0.42,0.0,0.0,0.8103061224489796,1.2664623820519498,False
10,0.5,0.02,0.42,0.05,0.2625,0.2957142857142857,0.1480983381670049,False
10,0.5,0.02,0.42,0.12,0.3875,0.1715816326530612,0.12270159488234027,False
10,0.5,0.02,0.42,0.22,0.175,0.18571428571428572,0.16403594905326396,False
10,0.5,0.02,0.42,0.3,0.1375,0.21244897959183673,0.1850231185544458,False
10,0.5,0.04,0.0,0.0,0.0,0.8320918367346939,1.2738413897362915,False
10,0.5,0.04,0.0,0.05,0.0,0.7168877551020408,1.021152924564627,False
10,0.5,0.04,0.0,0.12,0.0,0.7303061224489796,1.1195958632108725,False
10,0.5,0.04,0.0,0.22,0.0,0.7610714285714286,1.2185160062338016,False
10,0.5,0.04,0.0,0.3,0.0,0.7728571428571429,1.2553668991149654,False
10,0.5,0.04,0.05,0.0,0.0,0.8036224489795918,1.2546849074377495,False
10,0.5,0.04,0.05,0.05,0.2625,0.30933673469387757,0.15371361633996916,False
10,0.5,0.04,0.05,0.12,0.3125,0.18081632653061225,0.1316806769844152,False
10,0.5,0.04,0.05,0.22,0.225,0.16923469387755102,0.168181472913228,False
10,0.5,0.04,0.05,0.3,0.175,0.18306122448979592,0.18573175388188118,False
10,0.5,0.04,0.1,0.0,0.0,0.7672959183673469,1.226624983208645,False
10,0.5,0.04,0.1,0.05,0.275,0.2720918367346939,0.15128376241112068,False
10,0.5,0.04,0.1,0.12,0.325,0.14755102040816326,0.15633274109883455,False
10,0.5,0.04,0.1,0.22,0.375,0.1582142857142857,0.18691895369275155,False
