task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
lorenz,60,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.21978968481102,1.0026944750194426,1e-08
mackey_glass,60,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,60,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.027351042271381,1e-08
sunspots_annual,60,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0021814485024212,1.0148461475210984,0.0001
lorenz,61,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,61,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,61,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,61,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0032836298229884,1.0122845034638237,0.01
lorenz,42,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,42,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,42,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,42,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0022329270048376,1.0147077254994201,1e-08
lorenz,43,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110243,1.0026944750194426,1e-08
mackey_glass,43,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,43,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713805,1e-08
sunspots_annual,43,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0024014706856685,1.0142698236680578,1e-06
lorenz,44,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110275,1.002694475019443,1e-08
mackey_glass,44,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,44,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713803,1e-08
sunspots_annual,44,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0017741177212962,1.0160297503842621,1e-08
lorenz,45,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.219789684811033,1.002694475019443,1e-08
mackey_glass,45,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,45,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,45,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.005035928769033,1.0093398364973252,1e-06
lorenz,46,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110306,1.002694475019443,1e-08
mackey_glass,46,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,46,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713799,1e-08
sunspots_annual,46,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0030147672492928,1.0128424934413292,1e-08
lorenz,47,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,47,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,47,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
sunspots_annual,47,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.005095462006008,1.0092560440673832,1000.0
lorenz,48,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,48,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,48,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,48,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,1.0017189502812414,1.0162038574551646,1e-08
lorenz,49,Z+ZZ,0.0,0.0,0.12,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
